distance_m,excess_gkg,dilution,seabed_depth_m
-2.96,0.9633,32.61,23.56
2.81,0.9633,32.61,23.56
8.58,0.9633,32.61,23.56
14.35,0.9621,32.65,23.56
20.11,0.9292,33.80,23.56
25.88,0.7283,43.13,23.56
31.65,0.4384,71.64,23.56
37.42,0.2992,104.95,24.52
43.19,0.2701,116.28,24.52
48.96,0.2093,150.06,24.52
54.73,0.1143,274.63,24.52
60.50,0.0424,740.20,24.52
66.27,0.0148,2126.60,24.52
72.04,0.0000,,24.52
77.81,0.0000,,24.52
83.58,0.0000,,24.52
89.35,0.0000,,24.52
95.11,0.0000,,24.52
100.88,0.0000,,24.52
106.65,0.0000,,24.52
112.42,0.0000,,24.52
118.19,0.0000,,24.52
123.96,0.0000,,24.52
129.73,0.0000,,24.52
135.50,0.0000,,24.52
141.27,0.0000,,24.52
147.04,0.0000,,24.52
152.81,0.0000,,24.52
158.58,0.0000,,24.52
164.35,0.0000,,24.52
170.11,0.0000,,24.52
175.88,0.0000,,24.52
181.65,0.0000,,24.52
187.42,0.0000,,24.52
193.19,0.0000,,24.52
198.96,0.0000,,24.52
204.73,0.0000,,24.52
210.50,0.0000,,24.52
216.27,0.0000,,24.52
222.04,0.0000,,24.52
227.81,0.0000,,24.52
233.58,0.0000,,24.52
239.35,0.0000,,24.52
245.11,0.0000,,24.52
